エリア,世帯,トリップ,出発時間,到着時間,代表交通手段,交通モード,移動時間,,,,
19,0,1,0,0,0,0,1,,,,
19,1,0,0,526,0,0,3,,,,
19,1,1,0,0,0,0,3,,,,
19,2,0,0,0,0,0,3,,,,
19,2,1,0,0,0,0,2,,,,
20,0,0,0,447,0,0,2,,,,
20,0,1,0,0,0,0,2,,,,
21,0,0,0,401,0,0,2,,,,
21,0,1,0,0,0,0,1,,,,
21,0,2,0,0,0,0,1,,,,
22,0,0,0,0,1,3,1,3,2,4,2
22,0,1,0,0,0,0,2,,,,
22,0,2,0,0,0,0,2,,,,
22,1,0,0,417,0,0,2,,,,
22,1,1,0,0,0,0,2,,,,
22,1,2,0,0,0,0,2,,,,
22,2,0,0,431,0,0,1,,,,
22,2,1,0,0,0,0,1,,,,
22,3,0,0,436,0,0,2,,,,
22,3,1,0,0,0,0,2,,,,
22,4,0,0,0,2,2,4,,,,
22,4,1,0,453,0,0,2,,,,
22,4,2,0,0,0,0,1,,,,
23,0,0,0,0,2,2,8,,,,
23,0,1,0,0,0,0,2,,,,
23,0,2,0,0,0,0,2,,,,
23,1,0,0,404,0,0,3,,,,
23,1,1,0,0,0,0,3,,,,
24,0,0,0,519,1,3,1,3,2,6,2
24,0,1,0,0,0,0,3,,,,
24,1,0,0,482,1,3,1,3,1,2,1
24,1,1,0,0,0,0,1,,,,
24,2,0,0,518,2,2,8,,,,
24,2,1,0,0,0,0,2,,,,
25,0,0,0,0,3,3,10,,,,
25,0,1,0,0,0,0,2,,,,
25,1,0,0,527,0,0,1,,,,
25,1,1,0,0,0,0,1,,,,
26,0,0,0,527,0,0,1,,,,
26,0,1,0,0,0,0,1,,,,
27,0,0,0,498,0,0,2,,,,
27,0,1,0,0,0,0,2,,,,
27,0,2,0,0,0,0,1,,,,
27,0,3,0,0,0,0,3,,,,
27,1,0,0,413,2,2,4,,,,
27,1,1,0,0,0,0,1,,,,
27,1,2,0,0,0,0,2,,,,
28,0,0,0,474,0,0,2,,,,
28,0,1,0,0,0,0,2,,,,
28,1,0,0,0,0,0,2,,,,
28,1,1,0,0,0,0,2,,,,
28,2,0,0,0,0,0,2,,,,
28,2,1,0,0,0,0,1,,,,
29,0,0,0,415,2,2,12,,,,
29,0,1,0,0,0,0,3,,,,
29,2,0,0,0,0,0,3,,,,
29,2,1,0,0,0,0,3,,,,
30,0,0,0,0,0,0,1,,,,
30,0,1,0,447,0,0,2,,,,
30,0,2,0,1063,0,0,2,,,,
30,0,3,0,0,0,0,1,,,,
30,1,0,0,491,1,3,1,3,2,4,2
30,1,1,0,0,0,0,2,,,,
30,1,2,0,0,0,0,3,,,,
30,1,3,0,0,0,0,3,,,,
31,0,0,0,486,0,0,2,,,,
31,0,1,0,0,0,0,2,,,,
31,0,2,0,0,0,0,2,,,,
32,1,0,0,494,1,3,1,3,2,2,2
32,1,1,0,0,0,0,2,,,,
32,1,2,0,0,0,0,1,,,,
32,2,0,0,0,3,3,5,,,,
32,2,1,0,469,0,0,2,,,,
32,2,2,0,0,0,0,3,,,,
32,2,3,0,0,0,0,3,,,,
32,2,4,0,0,0,0,3,,,,
33,0,0,0,432,2,2,8,,,,
33,0,1,0,0,0,0,2,,,,
34,0,0,0,447,2,2,4,,,,
34,0,1,0,1135,0,0,2,,,,
34,0,2,0,0,0,0,2,,,,
34,0,3,0,0,0,0,1,,,,
36,0,0,0,518,3,3,5,,,,
36,0,1,0,0,0,0,1,,,,
37,0,0,0,0,1,3,1,3,2,4,2
37,0,1,0,0,0,0,2,,,,
38,0,0,0,0,0,0,1,,,,
38,0,1,0,0,0,0,1,,,,
38,0,2,0,0,0,0,2,,,,
38,0,3,0,0,0,0,2,,,,
38,1,0,0,477,1,3,1,3,1,2,1
38,1,1,0,0,0,0,2,,,,
38,1,2,0,0,0,0,3,,,,
38,2,0,0,520,2,2,8,,,,
38,2,1,0,680,0,0,2,,,,
38,2,2,0,1290,0,0,2,,,,
38,2,3,0,0,0,0,2,,,,
39,1,0,0,395,0,0,1,,,,
39,1,1,0,683,0,0,2,,,,
39,1,2,0,0,0,0,1,,,,
39,1,3,0,957,0,0,1,,,,
39,1,4,0,0,0,0,1,,,,
39,2,0,0,454,2,2,8,,,,
39,2,1,0,0,0,0,1,,,,
39,2,2,0,0,0,0,1,,,,
40,0,0,0,0,3,3,10,,,,
40,0,1,0,0,0,0,2,,,,
40,1,0,0,415,0,0,2,,,,
40,1,1,0,0,0,0,1,,,,
40,1,2,0,0,0,0,1,,,,
41,0,0,0,501,0,0,1,,,,
41,0,1,0,680,0,0,2,,,,
41,0,2,0,1068,0,0,2,,,,
41,0,3,0,0,0,0,1,,,,
42,1,0,0,0,2,2,8,,,,
42,1,1,0,0,0,0,2,,,,
43,0,0,0,0,0,0,3,,,,
43,0,1,0,0,0,0,3,,,,
43,0,2,0,0,0,0,1,,,,
44,1,0,0,469,0,0,2,,,,
44,1,1,0,1292,0,0,2,,,,
44,1,2,0,0,0,0,2,,,,
44,1,3,0,0,0,0,2,,,,
44,2,0,0,403,0,0,2,,,,
44,2,1,0,0,0,0,2,,,,
44,2,2,0,0,0,0,2,,,,
45,1,0,0,415,0,0,2,,,,
45,1,1,0,0,0,0,2,,,,
45,2,0,0,0,0,0,1,,,,
45,2,1,0,0,0,0,2,,,,
46,0,0,0,0,0,0,2,,,,
46,0,1,0,0,0,0,1,,,,
46,0,2,0,0,0,0,1,,,,
47,0,0,0,0,0,0,2,,,,
47,0,1,0,0,0,0,2,,,,
48,0,0,0,446,1,3,1,3,2,2,2
48,0,1,0,0,0,0,1,,,,
48,1,0,0,533,2,2,4,,,,
48,1,1,0,0,0,0,1,,,,
49,0,0,0,497,0,0,2,,,,
49,0,1,0,0,0,0,2,,,,
50,0,0,0,0,0,0,2,,,,
50,0,1,0,0,0,0,2,,,,
51,0,0,0,0,2,2,8,,,,
51,0,1,0,0,0,0,2,,,,
52,0,0,0,402,0,0,1,,,,
52,0,1,0,0,0,0,1,,,,
52,1,0,0,535,0,0,2,,,,
52,1,1,0,0,0,0,2,,,,
53,1,0,0,0,1,3,1,3,2,2,2
53,1,1,0,0,0,0,1,,,,
53,1,2,0,0,0,0,2,,,,
54,0,0,0,523,2,2,4,,,,
54,0,1,0,0,0,0,1,,,,
54,2,0,0,418,2,2,4,,,,
54,2,1,0,0,0,0,1,,,,
55,0,0,0,420,0,0,2,,,,
55,0,1,0,0,0,0,1,,,,
55,0,2,0,0,0,0,1,,,,
56,0,0,0,0,1,3,1,3,1,2,1
56,0,1,0,0,0,0,1,,,,
56,0,2,0,0,0,0,2,,,,
56,1,0,0,427,0,0,3,,,,
56,1,1,0,0,0,0,3,,,,
57,0,0,0,0,1,3,1,3,2,4,2
57,0,1,0,0,0,0,2,,,,
57,1,0,0,510,0,0,2,,,,
57,1,1,0,0,0,0,2,,,,
57,1,2,0,0,0,0,2,,,,
58,0,0,0,0,0,0,3,,,,
58,0,1,0,0,0,0,3,,,,
58,1,0,0,501,0,0,1,,,,
58,1,1,0,0,0,0,2,,,,
58,1,2,0,0,0,0,1,,,,
58,2,0,0,0,0,0,2,,,,
58,2,1,0,0,0,0,2,,,,
58,2,2,0,0,0,0,2,,,,
58,2,3,0,0,0,0,1,,,,
58,2,4,0,0,0,0,1,,,,
59,0,0,0,439,2,2,4,,,,
59,0,1,0,0,0,0,1,,,,
59,1,0,0,0,1,3,1,3,2,2,2
59,1,1,0,0,0,0,1,,,,
59,2,0,0,539,0,0,1,,,,
59,2,1,0,0,0,0,2,,,,
59,2,2,0,0,0,0,1,,,,
60,0,0,0,0,0,0,2,,,,
60,0,1,0,509,0,0,2,,,,
60,0,2,0,923,0,0,2,,,,
60,0,3,0,0,0,0,2,,,,
60,1,0,0,479,2,2,8,,,,
60,1,1,0,0,0,0,2,,,,
62,0,0,0,0,1,3,1,3,1,2,1
62,0,1,0,0,0,0,1,,,,
63,0,0,0,456,3,3,10,,,,
63,0,1,0,0,0,0,2,,,,
63,1,0,0,0,2,2,12,,,,
63,1,1,0,0,0,0,2,,,,
63,1,2,0,0,0,0,1,,,,
63,1,3,0,0,0,0,2,,,,
63,1,4,0,0,0,0,2,,,,
63,2,0,0,452,2,2,8,,,,
63,2,1,0,0,0,0,2,,,,
64,0,0,0,0,3,3,15,,,,
64,0,1,0,0,0,0,3,,,,
64,1,0,0,465,0,0,2,,,,
64,1,1,0,0,0,0,1,,,,
64,1,2,0,0,0,0,1,,,,
64,2,0,0,0,0,0,3,,,,
64,2,1,0,0,0,0,3,,,,
65,1,0,0,0,0,0,2,,,,
65,1,1,0,0,0,0,3,,,,
66,0,0,0,515,1,3,1,3,2,4,2
66,0,1,0,0,0,0,3,,,,
66,0,2,0,0,0,0,3,,,,
66,1,0,0,429,3,3,10,,,,
66,1,1,0,0,0,0,2,,,,
67,0,0,0,0,3,3,5,,,,
67,0,1,0,0,0,0,2,,,,
67,0,2,0,0,0,0,2,,,,
67,0,3,0,0,0,0,1,,,,
68,1,0,0,443,0,0,3,,,,
68,1,1,0,0,0,0,3,,,,
69,0,0,0,503,1,3,1,3,2,4,2
69,0,1,0,0,0,0,2,,,,
69,1,0,0,0,0,0,1,,,,
69,1,1,0,0,0,0,2,,,,
70,0,0,0,392,1,3,1,3,2,4,2
70,0,1,0,0,0,0,2,,,,
71,0,0,0,407,0,0,1,,,,
71,0,1,0,0,0,0,1,,,,
71,0,2,0,0,0,0,2,,,,
71,1,0,0,0,0,0,1,,,,
71,1,1,0,0,0,0,1,,,,
71,1,2,0,0,0,0,2,,,,
71,2,0,0,409,0,0,3,,,,
71,2,1,0,0,0,0,3,,,,
72,0,0,0,488,2,2,8,,,,
72,0,1,0,0,0,0,1,,,,
72,0,2,0,0,0,0,3,,,,
72,0,3,0,0,0,0,2,,,,
73,0,0,0,0,0,0,1,,,,
73,0,1,0,439,0,0,2,,,,
73,0,2,0,0,0,0,1,,,,
73,1,0,0,485,0,0,1,,,,
73,1,1,0,0,0,0,1,,,,
74,0,0,0,0,0,0,2,,,,
74,0,1,0,0,0,0,2,,,,
75,0,0,0,0,2,2,4,,,,
75,0,1,0,0,0,0,1,,,,
76,0,0,0,392,0,0,2,,,,
76,0,1,0,0,0,0,2,,,,
76,1,0,0,0,1,3,1,3,2,2,2
76,1,1,0,0,0,0,1,,,,
76,2,0,0,513,2,2,8,,,,
76,2,1,0,0,0,0,1,,,,
76,2,2,0,0,0,0,1,,,,
77,0,0,0,0,0,0,2,,,,
77,0,1,0,0,0,0,1,,,,
78,0,0,0,426,2,2,4,,,,
78,0,1,0,0,0,0,1,,,,
78,1,0,0,497,2,2,4,,,,
78,1,1,0,0,0,0,1,,,,
79,0,0,0,535,2,2,12,,,,
79,0,1,0,0,0,0,3,,,,
79,1,0,0,496,2,2,4,,,,
79,1,1,0,0,0,0,1,,,,
80,0,0,0,399,0,0,3,,,,
80,0,1,0,0,0,0,3,,,,
80,1,0,0,446,0,0,1,,,,
80,1,1,0,0,0,0,1,,,,
80,1,2,0,0,0,0,2,,,,
81,0,0,0,520,0,0,3,,,,
81,0,1,0,0,0,0,3,,,,
82,0,0,0,0,2,2,4,,,,
82,0,1,0,0,0,0,2,,,,
82,0,2,0,0,0,0,2,,,,
82,0,3,0,0,0,0,1,,,,
82,1,0,0,0,2,2,4,,,,
82,1,1,0,0,0,0,1,,,,
82,1,2,0,0,0,0,2,,,,
83,0,0,0,475,0,0,2,,,,
83,0,1,0,0,0,0,2,,,,
83,1,0,0,469,3,3,10,,,,
83,1,1,0,0,0,0,2,,,,
83,1,2,0,1101,0,0,2,,,,
83,1,3,0,0,0,0,2,,,,
84,0,0,0,526,0,0,2,,,,
84,0,1,0,0,0,0,2,,,,
85,0,0,0,0,2,2,4,,,,
85,0,1,0,0,0,0,1,,,,
85,1,0,0,0,1,3,1,3,1,2,1
85,1,1,0,0,0,0,1,,,,
85,2,0,0,0,0,0,1,,,,
85,2,1,0,0,0,0,2,,,,
86,0,0,0,400,0,0,2,,,,
86,0,1,0,0,0,0,2,,,,
86,0,2,0,0,0,0,2,,,,
86,1,0,0,512,0,0,2,,,,
86,1,1,0,0,0,0,2,,,,
87,0,0,0,429,3,3,10,,,,
87,0,1,0,0,0,0,2,,,,
87,0,2,0,1011,0,0,2,,,,
87,0,3,0,0,0,0,2,,,,
87,0,4,0,0,0,0,2,,,,
88,0,0,0,445,0,0,3,,,,
88,0,1,0,0,0,0,3,,,,
88,1,0,0,0,1,3,1,3,2,6,2
88,1,1,0,0,0,0,3,,,,
88,1,2,0,479,0,0,1,,,,
88,1,3,0,0,0,0,1,,,,
89,0,0,0,462,0,0,1,,,,
89,0,1,0,0,0,0,1,,,,
89,1,0,0,449,0,0,2,,,,
89,1,1,0,0,0,0,2,,,,
89,1,2,0,0,0,0,2,,,,
90,0,0,0,442,1,3,1,3,2,2,2
90,0,1,0,0,0,0,1,,,,
91,0,0,0,498,0,0,2,,,,
91,0,1,0,0,0,0,2,,,,
91,0,2,0,0,0,0,2,,,,
92,0,0,0,0,0,0,2,,,,
92,0,1,0,0,0,0,1,,,,
92,0,2,0,0,0,0,2,,,,
92,0,3,0,430,0,0,1,,,,
92,0,4,0,0,0,0,2,,,,
93,0,0,0,408,1,3,1,3,2,4,2
93,0,1,0,0,0,0,2,,,,
94,0,0,0,0,1,3,1,3,2,4,2
94,0,1,0,0,0,0,2,,,,
94,0,2,0,0,0,0,2,,,,
94,1,0,0,468,0,0,1,,,,
94,1,1,0,0,0,0,1,,,,
94,1,2,0,0,0,0,2,,,,
94,2,0,0,521,2,2,12,,,,
94,2,1,0,0,0,0,3,,,,
95,0,0,0,517,0,0,2,,,,
95,0,1,0,0,0,0,2,,,,
96,0,0,0,0,0,0,3,,,,
96,0,1,0,0,0,0,2,,,,
96,1,0,0,456,0,0,1,,,,
96,1,1,0,0,0,0,1,,,,
96,1,2,0,0,0,0,2,,,,
97,0,0,0,461,0,0,1,,,,
97,0,1,0,0,0,0,1,,,,
97,1,0,0,394,0,0,2,,,,
97,1,1,0,0,0,0,2,,,,
98,0,0,0,0,0,0,2,,,,
98,0,1,0,0,0,0,1,,,,
98,0,2,0,485,0,0,3,,,,
98,0,3,0,0,0,0,2,,,,
98,1,0,0,510,0,0,3,,,,
98,1,1,0,0,0,0,3,,,,
98,2,0,0,515,0,0,2,,,,
98,2,1,0,0,0,0,2,,,,
98,3,0,0,422,2,2,8,,,,
98,3,1,0,0,0,0,2,,,,
99,0,0,0,482,0,0,2,,,,
99,0,1,0,0,0,0,2,,,,
99,0,2,0,0,0,0,2,,,,
99,1,0,0,507,0,0,2,,,,
99,1,1,0,0,0,0,2,,,,
100,0,0,0,0,1,3,1,3,2,4,2
100,0,1,0,0,0,0,2,,,,
100,0,2,0,0,0,0,2,,,,
100,1,0,0,0,2,2,8,,,,
100,1,1,0,0,0,0,2,,,,
100,2,0,0,0,0,0,2,,,,
100,2,1,0,0,0,0,1,,,,
100,3,0,0,402,0,0,3,,,,
100,3,1,0,0,0,0,3,,,,
101,0,0,0,430,0,0,1,,,,
101,0,1,0,0,0,0,1,,,,
101,2,0,0,414,3,3,10,,,,
101,2,1,0,726,0,0,2,,,,
101,2,2,0,1043,0,0,2,,,,
101,2,3,0,0,0,0,2,,,,
102,0,0,0,482,0,0,1,,,,
102,0,1,0,0,0,0,1,,,,
102,1,0,0,0,2,2,4,,,,
102,1,1,0,510,0,0,1,,,,
102,1,2,0,0,0,0,2,,,,
103,0,0,0,487,1,3,1,3,2,4,2
103,0,1,0,0,0,0,2,,,,
105,0,0,0,0,1,3,1,3,1,2,1
105,0,1,0,418,0,0,1,,,,
105,0,2,0,0,0,0,2,,,,
105,1,0,0,504,1,3,1,3,2,4,2
105,1,1,0,0,0,0,2,,,,
105,2,0,0,399,0,0,2,,,,
105,2,1,0,0,0,0,2,,,,
105,2,2,0,1114,0,0,2,,,,
105,2,3,0,0,0,0,2,,,,
106,1,0,0,425,0,0,1,,,,
106,1,1,0,0,0,0,1,,,,
107,0,0,0,414,2,2,4,,,,
107,0,1,0,0,0,0,1,,,,
107,0,2,0,0,0,0,2,,,,
108,0,0,0,419,0,0,2,,,,
108,0,1,0,0,0,0,2,,,,
108,1,0,0,0,0,0,1,,,,
108,1,1,0,0,0,0,2,,,,
109,0,0,0,0,3,3,5,,,,
109,0,1,0,0,0,0,1,,,,
109,1,0,0,0,1,3,1,3,2,4,2
109,1,1,0,435,0,0,2,,,,
109,1,2,0,0,0,0,2,,,,
110,0,0,0,394,0,0,2,,,,
110,0,1,0,0,0,0,2,,,,
111,0,0,0,528,0,0,1,,,,
111,0,1,0,0,0,0,1,,,,
112,1,0,0,461,0,0,2,,,,
112,1,1,0,0,0,0,2,,,,
113,0,0,0,485,0,0,1,,,,
113,0,1,0,0,0,0,1,,,,
113,1,0,0,506,2,2,8,,,,
113,1,1,0,0,0,0,2,,,,
113,1,2,0,0,0,0,2,,,,
114,0,0,0,0,2,2,4,,,,
114,0,1,0,0,0,0,1,,,,
114,1,0,0,0,0,0,1,,,,
114,1,1,0,504,0,0,1,,,,
114,1,2,0,0,0,0,2,,,,
115,0,0,0,469,0,0,1,,,,
115,0,1,0,0,0,0,1,,,,
115,1,0,0,430,0,0,2,,,,
115,1,1,0,0,0,0,2,,,,
115,1,2,0,0,0,0,2,,,,
116,0,0,0,0,1,3,1,3,2,4,2
116,0,1,0,0,0,0,2,,,,
117,0,0,0,0,3,3,15,,,,
117,0,1,0,0,0,0,3,,,,
117,1,0,0,0,2,2,8,,,,
117,1,1,0,0,0,0,1,,,,
117,1,2,0,0,0,0,1,,,,
117,1,3,0,0,0,0,1,,,,
117,1,4,0,0,0,0,1,,,,
119,0,0,0,512,0,0,3,,,,
119,0,1,0,0,0,0,2,,,,
119,0,2,0,0,0,0,1,,,,
119,1,0,0,521,0,0,2,,,,
119,1,1,0,0,0,0,2,,,,
120,0,0,0,394,0,0,1,,,,
120,0,1,0,0,0,0,2,,,,
120,0,2,0,0,0,0,1,,,,
120,1,0,0,431,0,0,2,,,,
120,1,1,0,0,0,0,2,,,,
120,1,2,0,1135,0,0,2,,,,
120,1,3,0,0,0,0,2,,,,
120,1,4,0,0,0,0,2,,,,
121,0,0,0,538,1,3,1,3,2,2,2
121,0,1,0,0,0,0,1,,,,
121,1,0,0,0,0,0,2,,,,
121,1,1,0,0,0,0,3,,,,
121,1,2,0,0,0,0,1,,,,
122,0,0,0,404,0,0,1,,,,
122,0,1,0,0,0,0,1,,,,
122,0,2,0,0,0,0,2,,,,
123,0,0,0,466,1,3,1,3,1,2,1
123,0,1,0,0,0,0,1,,,,
124,0,0,0,468,1,3,1,3,2,2,2
124,0,1,0,0,0,0,2,,,,
124,0,2,0,0,0,0,1,,,,
124,0,3,0,0,0,0,2,,,,
124,0,4,0,1012,0,0,1,,,,
124,0,5,0,0,0,0,1,,,,
125,0,0,0,446,0,0,3,,,,
125,0,1,0,0,0,0,3,,,,
125,0,2,0,0,0,0,2,,,,
125,1,0,0,414,0,0,3,,,,
125,1,1,0,0,0,0,3,,,,
125,2,0,0,416,2,2,8,,,,
125,2,1,0,0,0,0,2,,,,
126,0,0,0,495,0,0,2,,,,
126,0,1,0,0,0,0,2,,,,
126,0,2,0,0,0,0,2,,,,
127,0,0,0,454,1,3,1,3,2,4,2
127,0,1,0,0,0,0,2,,,,
128,0,0,0,415,0,0,1,,,,
128,0,1,0,0,0,0,2,,,,
128,0,2,0,0,0,0,3,,,,
129,0,0,0,0,3,3,5,,,,
129,0,1,0,0,0,0,1,,,,
129,1,0,0,414,0,0,2,,,,
129,1,1,0,0,0,0,2,,,,
130,0,0,0,0,2,2,4,,,,
130,0,1,0,0,0,0,1,,,,
130,1,0,0,430,0,0,2,,,,
130,1,1,0,0,0,0,2,,,,
130,1,2,0,0,0,0,2,,,,
130,2,0,0,474,0,0,3,,,,
130,2,1,0,0,0,0,3,,,,
130,2,2,0,743,0,0,3,,,,
130,2,3,0,0,0,0,2,,,,
130,2,4,0,912,0,0,2,,,,
130,2,5,0,0,0,0,3,,,,
132,0,0,0,527,0,0,2,,,,
132,0,1,0,0,0,0,2,,,,
133,0,0,0,0,3,3,15,,,,
133,0,1,0,0,0,0,3,,,,
133,0,2,0,0,0,0,2,,,,
133,1,0,0,0,0,0,3,,,,
133,1,1,0,0,0,0,2,,,,
133,2,0,0,415,1,3,1,3,2,4,2
133,2,1,0,0,0,0,2,,,,
134,0,0,0,458,1,3,1,3,2,4,2
134,0,1,0,0,0,0,2,,,,
134,1,0,0,434,0,0,2,,,,
134,1,1,0,0,0,0,1,,,,
134,1,2,0,0,0,0,1,,,,
134,1,3,0,1018,0,0,2,,,,
134,1,4,0,0,0,0,2,,,,
134,1,5,0,0,0,0,2,,,,
135,0,0,0,0,2,2,12,,,,
135,0,1,0,0,0,0,3,,,,
136,0,0,0,527,0,0,2,,,,
136,0,1,0,0,0,0,2,,,,
137,0,0,0,0,2,2,12,,,,
137,0,1,0,0,0,0,3,,,,
137,0,2,0,0,0,0,2,,,,
137,1,0,0,0,3,3,5,,,,
137,1,1,0,0,0,0,1,,,,
137,2,0,0,459,2,2,4,,,,
137,2,1,0,0,0,0,1,,,,
137,2,2,0,0,0,0,2,,,,
137,3,0,0,521,0,0,3,,,,
137,3,1,0,0,0,0,3,,,,
138,0,0,0,415,2,2,8,,,,
138,0,1,0,0,0,0,2,,,,
138,0,2,0,0,0,0,2,,,,
138,1,0,0,0,2,2,8,,,,
138,1,1,0,0,0,0,2,,,,
138,1,2,0,0,0,0,2,,,,
138,2,0,0,532,3,3,15,,,,
138,2,1,0,0,0,0,3,,,,
139,0,0,0,478,2,2,8,,,,
139,0,1,0,0,0,0,2,,,,
139,0,2,0,0,0,0,2,,,,
140,0,0,0,403,0,0,2,,,,
140,0,1,0,0,0,0,2,,,,
141,0,0,0,403,0,0,1,,,,
141,0,1,0,0,0,0,1,,,,
142,0,0,0,0,0,0,1,,,,
142,0,1,0,0,0,0,1,,,,
142,0,2,0,0,0,0,1,,,,
142,0,3,0,0,0,0,1,,,,
142,1,0,0,403,0,0,1,,,,
142,1,1,0,0,0,0,1,,,,
143,0,0,0,471,1,3,1,3,1,2,1
143,0,1,0,0,0,0,2,,,,
143,0,2,0,0,0,0,1,,,,
143,1,0,0,509,2,2,8,,,,
143,1,1,0,0,0,0,2,,,,
143,2,0,0,403,2,2,4,,,,
143,2,1,0,0,0,0,2,,,,
143,2,2,0,0,0,0,1,,,,
144,0,0,0,0,0,0,2,,,,
144,0,1,0,0,0,0,3,,,,
145,0,0,0,0,2,2,4,,,,
145,0,1,0,0,0,0,1,,,,
145,0,2,0,0,0,0,2,,,,
145,1,0,0,513,1,3,1,3,2,4,2
145,1,1,0,703,0,0,2,,,,
145,1,2,0,1175,0,0,2,,,,
145,1,3,0,0,0,0,2,,,,
145,2,0,0,446,0,0,2,,,,
145,2,1,0,0,0,0,2,,,,
147,0,0,0,0,3,3,10,,,,
147,0,1,0,0,0,0,2,,,,
147,1,0,0,0,0,0,3,,,,
147,1,1,0,0,0,0,2,,,,
147,2,0,0,430,3,3,5,,,,
147,2,1,0,0,0,0,2,,,,
147,2,2,0,0,0,0,3,,,,
148,0,0,0,515,2,2,8,,,,
148,0,1,0,0,0,0,2,,,,
148,0,2,0,1305,0,0,2,,,,
148,0,3,0,0,0,0,2,,,,
148,1,0,0,0,0,0,2,,,,
148,1,1,0,0,0,0,1,,,,
149,0,0,0,454,2,2,4,,,,
149,0,1,0,752,0,0,2,,,,
149,0,2,0,0,0,0,2,,,,
149,0,3,0,1028,0,0,2,,,,
149,0,4,0,0,0,0,1,,,,
149,1,0,0,476,1,3,1,3,2,4,2
149,1,1,0,0,0,0,2,,,,
149,2,0,0,457,3,3,5,,,,
149,2,1,0,0,0,0,1,,,,
150,0,0,0,0,3,3,15,,,,
150,0,1,0,0,0,0,2,,,,
150,0,2,0,0,0,0,2,,,,
150,0,3,0,0,0,0,3,,,,
150,1,0,0,452,0,0,1,,,,
150,1,1,0,0,0,0,1,,,,
151,0,0,0,421,2,2,8,,,,
151,0,1,0,0,0,0,2,,,,
151,1,0,0,509,3,3,10,,,,
151,1,1,0,0,0,0,2,,,,
152,0,0,0,0,1,3,1,3,1,2,1
152,0,1,0,0,0,0,2,,,,
152,0,2,0,0,0,0,3,,,,
152,0,3,0,0,0,0,1,,,,
152,0,4,0,0,0,0,1,,,,
